match_date,team_home,team_away,match_info_url,group,round
19/10/2016,Bayern München,PSV Eindhoven,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-bayern-muenchen-psv-eindhoven/,D,3
19/10/2016,FK Rostov,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-fk-rostov-atletico-madrid/,D,3
01/11/2016,Atlético Madrid,FK Rostov,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-atletico-madrid-fk-rostov/,D,4
01/11/2016,PSV Eindhoven,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-psv-eindhoven-bayern-muenchen/,D,4
23/11/2016,FK Rostov,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-fk-rostov-bayern-muenchen/,D,5
23/11/2016,Atlético Madrid,PSV Eindhoven,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-atletico-madrid-psv-eindhoven/,D,5
06/12/2016,Bayern München,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-bayern-muenchen-atletico-madrid/,D,6
06/12/2016,PSV Eindhoven,FK Rostov,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-psv-eindhoven-fk-rostov/,D,6
14/09/2016,Bayer Leverkusen,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-cska-moskva/,E,1
14/09/2016,Tottenham Hotspur,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-as-monaco/,E,1
27/09/2016,AS Monaco,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-bayer-leverkusen/,E,2
27/09/2016,CSKA Moskva,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-tottenham-hotspur/,E,2
18/10/2016,Bayer Leverkusen,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-tottenham-hotspur/,E,3
18/10/2016,CSKA Moskva,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-as-monaco/,E,3
02/11/2016,AS Monaco,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-cska-moskva/,E,4
02/11/2016,Tottenham Hotspur,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-bayer-leverkusen/,E,4
22/11/2016,CSKA Moskva,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-bayer-leverkusen/,E,5
22/11/2016,AS Monaco,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-tottenham-hotspur/,E,5
07/12/2016,Bayer Leverkusen,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-as-monaco/,E,6
07/12/2016,Tottenham Hotspur,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-cska-moskva/,E,6
14/09/2016,Legia Warszawa,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-legia-warszawa-borussia-dortmund/,F,1
14/09/2016,Real Madrid,Sporting CP,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-real-madrid-sporting-cp/,F,1
27/09/2016,Borussia Dortmund,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-borussia-dortmund-real-madrid/,F,2
27/09/2016,Sporting CP,Legia Warszawa,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-sporting-cp-legia-warszawa/,F,2
18/10/2016,Real Madrid,Legia Warszawa,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-real-madrid-legia-warszawa/,F,3
18/10/2016,Sporting CP,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-sporting-cp-borussia-dortmund/,F,3
02/11/2016,Borussia Dortmund,Sporting CP,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-borussia-dortmund-sporting-cp/,F,4
02/11/2016,Legia Warszawa,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-legia-warszawa-real-madrid/,F,4
22/11/2016,Borussia Dortmund,Legia Warszawa,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-borussia-dortmund-legia-warszawa/,F,5
22/11/2016,Sporting CP,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-sporting-cp-real-madrid/,F,5
07/12/2016,Legia Warszawa,Sporting CP,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-legia-warszawa-sporting-cp/,F,6
07/12/2016,Real Madrid,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-real-madrid-borussia-dortmund/,F,6
14/09/2016,Club Brugge KV,Leicester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-club-brugge-kv-leicester-city/,G,1
14/09/2016,FC Porto,FC København,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-porto-fc-koebenhavn/,G,1
27/09/2016,FC København,Club Brugge KV,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-koebenhavn-club-brugge-kv/,G,2
27/09/2016,Leicester City,FC Porto,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-leicester-city-fc-porto/,G,2
18/10/2016,Club Brugge KV,FC Porto,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-club-brugge-kv-fc-porto/,G,3
18/10/2016,Leicester City,FC København,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-leicester-city-fc-koebenhavn/,G,3
02/11/2016,FC København,Leicester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-koebenhavn-leicester-city/,G,4
02/11/2016,FC Porto,Club Brugge KV,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-porto-club-brugge-kv/,G,4
22/11/2016,FC København,FC Porto,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-koebenhavn-fc-porto/,G,5
22/11/2016,Leicester City,Club Brugge KV,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-leicester-city-club-brugge-kv/,G,5
07/12/2016,Club Brugge KV,FC København,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-club-brugge-kv-fc-koebenhavn/,G,6
07/12/2016,FC Porto,Leicester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-g-fc-porto-leicester-city/,G,6
14/09/2016,Juventus,Sevilla FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-juventus-sevilla-fc/,H,1
14/09/2016,Olympique Lyon,Dinamo Zagreb,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-olympique-lyon-dinamo-zagreb/,H,1
27/09/2016,Dinamo Zagreb,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-dinamo-zagreb-juventus/,H,2
27/09/2016,Sevilla FC,Olympique Lyon,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-sevilla-fc-olympique-lyon/,H,2
18/10/2016,Dinamo Zagreb,Sevilla FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-dinamo-zagreb-sevilla-fc/,H,3
18/10/2016,Olympique Lyon,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-olympique-lyon-juventus/,H,3
02/11/2016,Juventus,Olympique Lyon,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-h-juventus-olympique-lyon/,H,4
